,Category,Fund Family,Net Assets,YTD Return,Yield,Morningstar Rating,Inception Date,Last Dividend,Last Cap Gain,Holdings Turnover,Average for Category,Expense,Annual Report Expense Ratio (net),Prospectus Net Expense Ratio,Prospectus Gross Expense Ratio,Max 12b1 Fee,Max Front End Sales Load,Max Deferred Sales Load,3 Yr Expense Projection,5 Yr Expense Projection,10 Yr Expense Projection,TRHistoryAvailable
158,Mid-Cap Growth,Kinetics,84.73M,17.09%,0.00%,★★★,"Jan 30, 2006",0.00,0.00,8.00%,N/A,KMKNX,1.40%,1.40%,1.86%,N/A,N/A,N/A,443,764,"1,660",True
159,Mid-Cap Growth,BNY Mellon,2.12B,27.57%,0.00%,★★★★,"Mar 30, 2009",0.00,0.00,56.70%,N/A,DBMAX,1.00%,1.00%,1.00%,N/A,5.75%,N/A,875,"1,096","1,729",True
160,Mid-Cap Growth,Victory,1.3B,21.79%,0.00%,★★,"Jul 2, 2000",0.00,0.00,82.00%,N/A,MGOAX,1.28%,1.28%,1.28%,0.25%,5.75%,N/A,958,"1,237","2,031",True
161,Mid-Cap Growth,Baron Capital Group,4.44B,32.10%,0.00%,★★★★★,"May 28, 2009",0.00,0.00,9.87%,N/A,BARIX,1.04%,1.04%,1.04%,0.00%,N/A,N/A,331,574,"1,271",True
162,Mid-Cap Growth,Harbor,257.12M,31.06%,0.00%,★★★,"Oct 31, 2002",0.00,0.00,85.00%,N/A,HIMGX,1.23%,1.23%,1.26%,0.25%,N/A,N/A,397,689,"1,520",True
163,Mid-Cap Growth,Morgan Stanley,1.04B,44.60%,0.00%,★★★★,"Jan 30, 1997",0.00,0.00,86.00%,N/A,MACGX,1.02%,1.02%,1.02%,0.25%,5.25%,N/A,833,"1,059","1,707",True
164,Mid-Cap Growth,Kinetics,745.16M,20.63%,0.00%,★★,"Apr 25, 2001",0.00,0.00,3.00%,N/A,KNPAX,1.89%,1.89%,1.98%,0.50%,5.75%,N/A,"1,152","1,573","2,742",True
165,Mid-Cap Growth,Nationwide,590.38M,23.09%,0.00%,★★★,"Jan 3, 1999",0.00,0.00,14.29%,N/A,NWHVX,1.14%,1.14%,1.14%,0.25%,5.75%,N/A,916,"1,167","1,881",True
166,Mid-Cap Growth,Hartford Mutual Funds,13.97B,25.32%,0.00%,★★★★,"Dec 30, 1997",0.00,0.00,37.00%,N/A,HMDYX,0.79%,0.79%,0.85%,N/A,N/A,N/A,265,465,"1,043",True
167,Mid-Cap Growth,Hartford Mutual Funds,13.97B,25.29%,0.00%,★★★,"Feb 26, 2009",0.00,0.00,37.00%,N/A,HFMIX,0.82%,0.82%,0.82%,N/A,N/A,N/A,262,455,"1,014",True
